drug_name,device_name,condition,old_dosage,new_dosage,old_warning,new_warning,old_indication,new_indication,recall_reason,risk_level,fda_approval_date,update_date,source_url,ndc_code,clinical_trial_id,patient_population,contraindications,adverse_events,mechanism_of_action,therapeutic_class,manufacturer,regulatory_status,clinical_significance,patient_safety_impact,compliance_deadline,adverse_event_count,recall_class,trial_phase,study_status,id
MobiusHD™,,Hypertension,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Hypertension,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02827032,,NCT02827032,Clinical trial participants (n=200),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"Vascular Dynamics, Inc.",RECRUITING,Clinical trial evidence: Controlling and Lowering Blood Pressure With the MobiusHD™,Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0085
Albuterol,,Sickle Cell Disease,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Sickle Cell Disease,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01895998,,NCT01895998,Clinical trial participants (n=5),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Duke University,COMPLETED,Clinical trial evidence: Quantifying the Presence of Lung Disease and Pulmonary Hypertension in Children With Sickle Cell Disease,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0086
Urban Training,,Pulmonary Hypertension,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Pulmonary Hypertension,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT05523557,,NCT05523557,Clinical trial participants (n=80),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Hospital Clinic of Barcelona,RECRUITING,Clinical trial evidence: Urban-training Intervention in Pulmonary Hypertension (UTHAP),Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0087
,,"Scleroderma, Pulmonary Hypertension",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Scleroderma, Pulmonary Hypertension",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00566137,,NCT00566137,Clinical trial participants (n=50),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Northwell Health,COMPLETED,Clinical trial evidence: Sleep Disturbances and Pulmonary Artery/Aorta Diameter in Scleroderma Patient,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0088
,,Preeclampsia,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Preeclampsia,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00403572,,NCT00403572,Clinical trial participants (n=8),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Oslo University Hospital,COMPLETED,Clinical trial evidence: A Study of Cerebral-circulatory Response to Intravenous Antihypertensive Treatment in Women With Serious Preeclampsia,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0089
"valsartan, irbesartan",,Hypertension,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Hypertension,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00171080,,NCT00171080,Clinical trial participants (n=86),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Novartis,COMPLETED,Clinical trial evidence: VALID: Study to Compare the Reduction of Predialysis Systolic Blood Pressure With Valsartan Compared to Irbesartan in Patients With Mild to Moderate Hypertension on Long-term Hemodialysis,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,COMPLETED,GT-0090
"HCP1302, HGP0904, Placebo (for HCP1302)",,"Erectile Dysfunction, Hypertension",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Erectile Dysfunction, Hypertension",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02587988,,NCT02587988,Clinical trial participants (n=232),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Hanmi Pharmaceutical Company Limited,COMPLETED,Clinical trial evidence: Trial to Evaluate the Efficacy and Safety of HCP1302,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,COMPLETED,GT-0091
"Goldfish, Tonometry",,"Glaucoma, Open-Angle, Healthy",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Glaucoma, Open-Angle, Healthy",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT03689088,,NCT03689088,Clinical trial participants (n=9),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Sensimed AG,COMPLETED,Clinical trial evidence: Sensing Contact Lens-based Device for 24-hour Monitoring of Intraocular Pressure,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0092
"High Phosphate Phase, Low Phosphate Phase",,Hypertension,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Hypertension,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT03234361,,NCT03234361,Clinical trial participants (n=94),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,University of Texas Southwestern Medical Center,COMPLETED,Clinical trial evidence: Preventing Hypertension and Sympathetic Overactivation by Targeting Phosphate,Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0093
Intraventricular intracranial pressure monitoring,,"Aneurysmal Subarachnoid Hemorrhage, Intracranial Pressure Increase",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Aneurysmal Subarachnoid Hemorrhage, Intracranial Pressure Increase",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06288659,,NCT06288659,Clinical trial participants (n=372),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Huashan Hospital,RECRUITING,"Clinical trial evidence: aSAH Treatment Based on Intraventricular ICP Monitoring: A Prospective, Multicenter, Randomized and Controlled Trial",Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0094
warfarin,,atrial fibrillation,5mg daily standard dosing,2.5mg daily for patients >75 years (age-adjusted),Monitor INR monthly,BOXED WARNING: Weekly INR monitoring required for elderly patients.,Previous indication per labeling,Updated indication based on new safety data,,Critical,2024-09-14,2025-09-14,https://clinical-guardian-demo.com/scenario/1,10000-123-45,,Adult patients in acute care settings,Standard contraindications apply,Enhanced monitoring for adverse effects,Updated mechanism with safety considerations,High-Priority Clinical Update,Demo Pharma 1,FDA Safety Update,Age-adjusted dosing reduces major bleeding events by 40% in elderly patients,Critical - immediate dosing protocol revision required,2025-10-14,156,,,,GT-0095
insulin,,diabetes mellitus,Standard sliding scale insulin protocol,Weight-based dosing with continuous glucose monitor integration,Monitor blood glucose every 6 hours,Continuous monitoring required for high-risk patients.,Previous indication per labeling,Updated indication based on new safety data,,High,2024-09-14,2025-09-14,https://clinical-guardian-demo.com/scenario/2,10001-123-45,,Adult patients in acute care settings,Standard contraindications apply,Enhanced monitoring for adverse effects,Updated mechanism with safety considerations,High-Priority Clinical Update,Demo Pharma 2,FDA Safety Update,CGM integration reduces hypoglycemic events by 35%,High - updated monitoring protocols required,2025-10-14,89,,,,GT-0096
